Name,Exports-2002,Exports-2003,Exports-2004,Exports-2005,Exports-2006,Exports-2007,Exports-2008,Exports-2009,Exports-2010,Exports-2011,Exports-2012,Exports-2013,main,Latitude,Longitude
Argentina,26,30,35,40,47,56,70,56,65,84,75,83,10.40%,-34.000,-64.000
Australia,65,70,87,106,123,141,187,154,213,272,257,253,-1.40%,-27.000,133.000
Brazil,60,73,97,119,138,161,198,153,202,256,243,242,-0.20%,-10.000,-55.000
Canada,252,273,317,360,388,421,456,316,388,452,455,458,0.80%,60.000,-95.000
China,326,438,593,762,969,1220,1431,1202,1578,1899,2049,2210,7.90%,35.000,105.000
France,332,392,452,463,496,560,616,485,517,585,558,567,1.70%,46.000,2.000
Germany,616,752,910,971,1108,1321,1446,1120,1262,1477,1408,1453,3.10%,51.000,9.000
India,49,59,77,100,122,150,195,165,226,303,297,312,5.20%,22.000,77.000
Indonesia,59,64,71,87,104,118,140,120,158,201,189,183,-3.10%,-6.175.000,106.8283
Italy,254,299,354,373,417,500,543,407,447,523,502,518,3.20%,42.8.000,12.8000
Japan,417,472,566,595,647,714,781,581,770,823,799,715,-10.50%,36.000,138.000
"Korea, Republic of",162,194,254,284,325,371,422,364,466,555,548,560,2.10%,37.5500,126.9667
Mexico,161,165,188,214,250,272,291,230,298,350,371,380,2.50%,19.4000,-99.2000
Russian Federation,107,136,183,244,304,354,472,303,400,515,527,523,-0.80%,60.000,100.000
"Saudi Arabia, Kingdom of",72,93,126,181,211,233,313,192,251,365,388,376,-3.20%,24.000,45.000
South Africa,30,36,46,52,58,70,81,62,82,97,87,83,-4.60%,-30.000,25.000
Turkey,36,47,63,73,86,107,132,102,114,135,153,152,-0.40%,54.000,-2.000
United Kingdom,280,306,347,391,451,442,472,355,410,478,475,477,0.50%,51.500,-0.1167
United States,693,725,815,901,1026,1148,1287,1056,1279,1480,1546,1579,2.20%,38.8833,-77.0167
