SNo.,Country,main,Latitude,Longitude
1,Argentina,895,-34.0000,-64.0000
2,Australia,4053,-27.0000,133.0000
3,Austria,3657,47.2.0000,13.2000
4,Brazil,461,-10.0000,-55.0000
5,Canada,3922,60.0000,-95.0000
6,China,926,35.0000,105.0000
7,Czech Rep. ,2578,49.7500,15.5000
8,Denmark,5277,56.0000,10.0000
9,Finland,7681,64.0000,26.0000
10,France,3353,46.0000,2.0000
11,Germany,3386,51.0000,9.0000
12,Hungary,1745,47.0000,20.0000
13,India,140,22.0000,77.0000
14,Italy,1407,42.8000,12.8000
15,Japan,5546,36.0000,138.0000
16,Mexico,464,19.4000,-99.2000
17,Netherlands,2524,52.4000,4.9000
18,Norway,4668,62.0000,10.0000
19,Pakistan,80,30.0000,70.0000
20,Russian Fed.,3255,60.0000,100.0000
21,Singapore,5713,1.3000,103.8000
22,Spain,2639,40.0000,-4.0000
23,Sri Lanka,141.0000,127.3000
24,Sweden,6139,62.0000,15.0000
25,United Kingdom,3033,54.0000,-2.0000
26,United States,4651,38.0000,-97.0000
